Site,Region,Sex,SVL,HS,RW1,RW2,RW3,RW4,RW5,RW6,RW7,RW8,RW9,RW10,RW11,RW12,RW13,RW14,RW15
WH,Central,F,112.2,804.928074,0.018623,-0.009430,0.003580,-0.023878,-0.017728,-0.007393,-0.000936,0.011959,0.007131,-0.005259,0.011275,0.002754,-0.007418,-0.003388,-0.005283
WH,Central,F,90,722.469024,0.000794,-0.018716,-0.045972,-0.003305,0.001470,-0.002961,-0.007875,0.013914,0.001303,-0.004042,0.002978,0.000182,0.001434,-0.000503,0.004802
WH,Central,F,63.2,729.791172,-0.031700,-0.004590,-0.027176,0.004886,0.013184,-0.002440,-0.007510,0.013828,0.000839,0.007645,0.005926,0.002671,-0.000982,0.004840,-0.002338
Golf C,Central,F,56.6,466.056972,-0.073112,-0.044525,-0.025437,-0.010391,-0.004279,0.017118,-0.002376,-0.000879,-0.008478,0.009065,0.005938,0.008438,0.000299,0.000936,0.001399
WH,Central,F,96.3,811.066081,0.006698,0.052963,-0.048445,0.005812,-0.001807,0.003558,-0.000569,-0.000003,0.010938,0.004380,0.005959,-0.004576,-0.005278,-0.000159,-0.001378
WH,Central,F,88.2,946.360852,0.004251,0.002763,0.011969,0.013248,0.004625,0.006112,-0.009446,0.009475,0.001516,0.000045,0.008877,-0.004441,-0.000358,0.007621,0.000571
WH,Central,F,110,962.895852,0.018068,-0.014764,0.012800,0.005227,0.021543,-0.001822,0.003193,0.003780,-0.001714,0.000060,0.001984,0.001477,0.003500,0.001445,0.000032
WH,Central,F,89.2,805.818138,-0.029837,-0.028296,0.063319,0.006740,-0.002543,0.002209,0.000748,0.002803,0.001589,0.000173,-0.002517,0.002697,0.001456,0.001257,0.001424
WH,Central,F,106.5,960.545944,0.000796,0.005220,0.049998,0.014863,0.000734,0.014169,0.006592,-0.005382,-0.003648,-0.002729,-0.002020,0.009197,0.001376,-0.000506,-0.000700
WH,Central,F,74.4,670.357113,0.026134,0.014985,-0.044012,0.018135,-0.009549,0.000089,-0.002498,-0.006016,0.005034,-0.005816,-0.000322,0.006249,0.002073,0.000784,-0.000616
WH,Central,F,83.4,808.202075,-0.018086,0.025330,-0.001865,-0.002689,0.006437,0.006523,-0.005331,0.002035,-0.008076,0.009091,-0.008174,0.003724,0.002356,-0.001656,0.001750
WH,Central,F,100.9,1002.208643,-0.000977,0.040249,0.010773,-0.009843,0.017077,0.012768,0.001877,0.003134,0.016644,0.003212,0.009477,0.002707,0.003771,-0.000053,-0.003348
WH,Central,F,99.8,568.339192,-0.072988,-0.028747,0.001509,-0.024344,0.001791,0.006950,-0.009524,0.002701,-0.000214,0.006589,-0.004360,0.000095,-0.006085,0.006545,-0.001825
WH,Central,F,50.3,496.217005,-0.028203,0.028932,0.015711,0.014872,-0.004461,0.000155,0.000296,-0.004020,0.011089,0.008640,0.005120,0.003165,0.005236,-0.003596,-0.002944
KUHN,East,F,57.3,464.117846,-0.009493,-0.004422,0.004015,-0.011720,-0.016484,0.003404,0.006827,0.000369,0.001780,0.001055,-0.007660,0.000899,0.006887,0.013542,0.004508
KUHN,East,F,78.6,615.637977,0.020027,-0.059748,0.007904,0.056423,0.004888,-0.010330,-0.013954,0.007032,0.010292,0.009427,0.013205,0.005028,-0.001532,0.004034,0.003955
GILLS,East,F,78.6,812.263689,-0.025741,0.011829,-0.018848,0.001679,0.024492,-0.011625,-0.006946,0.007922,-0.000310,-0.002701,-0.002356,0.000268,0.001272,-0.000161,0.003852
GILLS,East,F,55.9,643.971780,-0.052906,-0.036387,0.013798,0.000112,-0.000969,-0.001768,0.000398,-0.003330,-0.002062,-0.009532,-0.001066,0.002601,0.002591,-0.001290,-0.004983
GILLS,East,F,73.6,755.143488,0.020402,-0.015597,0.003621,0.001679,-0.006058,0.003700,0.002742,0.002108,0.001303,-0.006571,0.006043,0.007049,-0.011195,-0.002164,-0.002697
GILLS,East,F,57.3,656.577666,0.010005,0.011597,-0.035371,0.026005,-0.008101,0.009966,-0.000482,0.002116,0.010439,0.003710,-0.009056,-0.003496,-0.000153,-0.001691,-0.001299
GILLS,East,F,52.7,627.328429,-0.002843,-0.013377,0.009339,-0.002092,-0.000498,-0.015775,-0.000495,0.007572,-0.013492,0.006070,-0.009545,-0.000079,0.005089,-0.003073,-0.000791
GILLS,East,F,78.4,588.499253,-0.031071,0.018979,-0.003841,0.010675,0.004052,0.007948,-0.005018,0.008656,0.000978,-0.002389,0.001400,-0.007112,-0.000317,-0.000858,0.003696
GILLS,East,F,53.9,533.444403,-0.019649,-0.003469,-0.007648,0.023458,0.015350,0.000117,-0.008273,-0.001036,-0.000387,-0.008477,-0.000637,-0.000650,-0.001064,0.000537,0.003138
KUHN,East,F,76.8,698.330635,-0.001459,0.012900,0.025346,-0.006327,0.005822,0.017679,-0.003019,-0.000907,0.014931,-0.007254,-0.002802,0.002869,-0.008878,-0.000471,-0.001576
Miller,West,F,79.5,376.677564,0.017066,0.004038,-0.034613,-0.027407,-0.009205,-0.011863,-0.004107,-0.001151,-0.002510,0.001853,0.008240,-0.008352,0.004642,0.006079,-0.001186
Miller,West,F,105.1,498.605865,0.058627,0.025043,0.035405,-0.055594,0.019072,-0.009164,0.004274,0.000024,0.007241,0.014559,-0.003485,-0.001166,0.005086,0.002093,-0.001524
