Habitat,EffectSize(D),weight,var
Terrestrial,0.0362,3.498950315,0.2858
Terrestrial,0.7289,3.281916639,0.3047
Terrestrial,0.5651,2.885170225,0.3466
Terrestrial,1.5329,1.93236715,0.5175
Terrestrial,2.0139,2.32234092,0.4306
Terrestrial,1.8799,2.080732418,0.4806
Terrestrial,1.1806,1.277465508,0.7828
Terrestrial,1.3996,1.204964454,0.8299
Terrestrial,1.0889,1.306335728,0.7655
Terrestrial,1.0909,1.305823975,0.7658
Terrestrial,0,2.5,0.4
Terrestrial,-0.9171,2.26193169,0.4421
Terrestrial,1.2142,1.688903901,0.5921
Terrestrial,1.6975,6.968641115,0.1435
Terrestrial,1.2709,8.319467554,0.1202
Terrestrial,1.3051,7.8125,0.128
Terrestrial,1.5213,7.757951901,0.1289
Terrestrial,1.1438,8.591065292,0.1164
Terrestrial,1.2062,8.460236887,0.1182
Lentic,3.6961,0.738661545,1.353800001
Lentic,4.6736,0.536135535,1.8652
Marine,1.218,2.952465309,0.3387
Marine,1.2885,2.011263073,0.4972
Marine,1.8177,7.077140835,0.1413
Marine,2.2233,6.180469716,0.1618
Marine,0.767,9.310986965,0.1074
Marine,0.5239,4.833252779,0.2069
Marine,0.163,4.982561036,0.2007
Marine,0.4487,4.87804878,0.205
Marine,2.2178,0.619271736,1.614800001
Marine,0.5707,0.960891708,1.040699999
Marine,-0.3254,0.98697197,1.0132
Marine,0.7353,1.873360809,0.5338
Marine,0.8691,1.82748538,0.5472
Marine,0.4639,1.947419669,0.5135
Marine,0.4322,1.95427008,0.5117
Marine,0.728,1.875820672,0.5331
Marine,0.6293,1.905487805,0.5248
Marine,0.5007,1.939111887,0.5157
Marine,-0.3672,1.966955153,0.5084
Marine,0.8199,1.84501845,0.542
Marine,-1.9561,1.352813853,0.7392
Marine,-0.3989,2.450980392,0.408
