subject,sex,age,survived,TL,AE,WT,BHL,HL,FL,TTL,SW,SKL
1,m,a,T,154,241,24.5,31.2,17.4498,16.9672,25.9588,14.9098,21.082
1,m,a,F,165,240,26.5,31,18.7452,17.8816,27.813,15.3924,21.5138
2,m,a,F,160,245,26.1,32,18.6944,18.0086,28.1686,15.5194,21.3868
2,m,a,T,160,252,26.9,30.8,18.6944,18.0086,29.972,15.2908,21.3614
3,m,a,T,155,243,26.9,30.6,18.6182,17.8816,29.2354,15.2908,21.4884
3,m,a,F,161,249,25.6,32.3,18.8722,18.2372,28.6512,15.2908,21.0312
4,m,a,T,154,245,24.3,31.7,18.8214,17.4752,29.1084,14.8336,21.3106
4,m,a,F,162,246,25.9,32.3,18.7452,18.0086,28.829,15.4178,22.0726
5,m,a,T,156,247,24.1,31.5,18.161,17.9324,28.6766,14.605,20.8534
5,m,a,F,163,250,25.5,32.5,19.1008,18.5674,30.4038,15.8242,22.5552
6,m,a,T,161,253,26.5,31.8,19.812,18.8722,29.0576,15.4178,22.6822
6,m,a,F,162,247,27.6,31.8,18.5674,18.2626,28.2702,15.1638,22.0726
7,m,a,T,157,251,24.6,31.1,18.8214,18.6944,29.2862,15.494,21.8948
7,m,a,F,163,246,25.8,31.4,17.5006,16.8148,27.2542,15.3416,21.2344
8,m,a,T,159,247,24.2,31.4,18.4912,18.2372,28.6004,15.4686,20.1422
8,m,a,F,161,246,24.9,30.5,18.7706,18.4404,28.9052,14.732,20.3962
9,m,a,T,158,247,23.6,29.8,17.8562,17.0942,27.4066,15.2908,20.828
9,m,a,F,160,242,26,31,18.923,18.1102,28.067,15.24,20.3962
10,m,a,T,158,252,26.2,32,19.0246,18.7706,29.2862,15.5956,21.7678
10,m,a,F,162,246,26.5,31.5,18.288,17.6784,27.7368,15.3924,20.5486
11,m,a,F,160,249,26,31.4,18.4404,17.5006,27.8638,15.2908,21.59
11,m,a,T,160,252,26.2,32,18.8214,18.3642,28.6766,15.8496,22.6568
12,m,a,F,161,250,27.1,31.6,18.7198,18.0594,28.448,16.0274,21.6408
12,m,a,T,162,253,24.8,32.3,19.4564,19.1008,28.8036,16.0782,23.4442
13,m,a,T,161,243,25.4,31.8,18.3134,18.3388,28.6004,15.1638,22.6314
13,m,a,F,162,248,25.1,31.9,18.8976,18.3388,29.3116,15.0114,21.3106
14,m,a,T,160,250,23.7,29.8,18.542,17.8562,28.0162,14.986,20.828
14,m,a,F,165,252,26,32.3,18.4404,18.034,29.083,15.4686,22.5298
15,m,a,T,159,247,25.7,31.4,18.5166,18.2118,28.9814,15.0368,23.5458
15,m,a,F,161,243,25.6,32.5,18.0086,17.9578,28.4988,15.4178,21.1328
16,m,a,T,158,253,25.7,31.9,18.8722,17.7546,29.21,15.24,21.844
16,m,a,F,161,244,25,31.3,17.8308,17.399,27.4828,15.113,22.1996
17,m,a,T,159,247,26.5,31.6,18.6182,18.1356,29.337,15.5194,23.4442
17,m,a,F,162,248,24.6,31,18.1102,18.0086,27.5844,14.986,21.2598
18,m,a,F,164,244,25,31.2,17.8562,17.526,27.2796,15.4432,20.193
18,m,a,T,166,253,26.7,32.5,19.4818,19.431,31.242,15.24,22.3012
19,m,a,F,158,247,26,32,18.5166,18.034,29.083,15.4178,20.3962
19,m,a,T,159,247,23.9,31.4,19.1008,18.3642,28.2702,15.2908,20.955
20,m,a,T,160,248,24.7,31.3,19.1008,18.7198,29.8704,15.3162,20.3962
20,m,a,F,162,253,28.3,31.8,19.1008,18.2372,29.2608,15.4686,21.7678
21,m,a,F,156,239,24.6,30.5,16.7386,16.7132,26.4668,14.478,20.574
