,T_rom,T_rom2,M_touc,P_bre,T_occ,T_stan,T_cae,T_eur,T_eur2,T_eur3
T_rom,0,4.66,8.53,8.96,6.4,5.35,9.27,8.42,8.6,8.82
T_rom2,4.66,0,8.19,10.98,5.43,5.2,6.96,7.24,8.21,8.26
M_touc,8.53,8.19,0,9.88,5.67,10.28,9.1,8.75,5.63,7.58
P_bre,8.96,10.98,9.88,0,9.91,10.32,11.93,12.01,10.85,12.09
T_occ,6.4,5.43,5.67,9.91,0,6.45,5.72,7.25,6.2,6.57
T_stan,5.35,5.2,10.28,10.32,6.45,0,7.66,8.63,9.93,10.32
T_cae,9.27,6.96,9.1,11.93,5.72,7.66,0,7.17,8.13,8.21
T_eur,8.42,7.24,8.75,12.01,7.25,8.63,7.17,0,5.39,5.35
T_eur2,8.6,8.21,5.63,10.85,6.2,9.93,8.13,5.39,0,4.64
T_eur3,8.82,8.26,7.58,12.09,6.57,10.32,8.21,5.35,4.64,0
